Name,Family
Magnemite,Magnemite
Magneton,Magnemite
Magnezone,Magnemite
Farfetchd,Farfetchd
Doduo,Doduo
Dodrio,Doduo
Seel,Seel
Dewgong,Seel
Grimer,Grimer
Muk,Grimer
Shellder,Shellder
Cloyster,Shellder
Gastly,Gastly
Haunter,Gastly
Gengar,Gastly
Onix,Onix
Steelix,Onix
Drowzee,Drowzee
Hypno,Drowzee
Krabby,Krabby
Kingler,Krabby
Voltorb,Voltorb
Electrode,Voltorb
Exeggcute,Exeggcute
Exeggutor,Exeggcute
Cubone,Cubone
Marowak,Cubone
Hitmonlee,Hitmonlee
Hitmonchan,Hitmonchan
Hitmontop,Hitmontop
Tyrogue,Tyrogue
Lickitung,Lickitung
Lickilicky,Lickitung
Koffing,Koffing
Weezing,Koffing
Rhyhorn,Rhyhorn
Rhydon,Rhyhorn
Rhyperior,Rhyhorn
Chansey,Chansey
Blissey,Chansey
Happiny,Chansey
Tangela,Tangela
Tangrowth,Tangela
Kangaskhan,Kangaskhan
Horsea,Horsea
Seadra,Horsea
Kingdra,Horsea
Goldeen,Goldeen
Seaking,Goldeen
Staryu,Staryu
Starmie,Staryu
MrMime,MrMime
Scyther,Scyther
Scizor,Scyther
Jynx,Jynx
Smoochum,Jynx
Electabuzz,Electabuzz
Electivire,Electabuzz
Elekid,Electabuzz
Magmar,Magmar
Magmortar,Magmar
Magby,Magmar
Pinsir,Pinsir
Tauros,Tauros
Magikarp,Magikarp
Gyarados,Magikarp
Lapras,Lapras
Ditto,Ditto
Eevee,Eevee
Vaporeon,Eevee
Jolteon,Eevee
Flareon,Eevee
Espeon,Eevee
Umbreon,Eevee
Leafeon,Eevee
Glaceon,Eevee
Sylveon,Eevee
Porygon,Porygon
Porygon2,Porygon
PorygonZ,Porygon
Omanyte,Omanyte
Omastar,Omanyte
Kabuto,Kabuto
Kabutops,Kabuto
Aerodactyl,Aerodactyl
Snorlax,Snorlax
Munchlax,Snorlax
Dratini,Dratini
Dragonair,Dratini
Dragonite,Dratini
Chikorita,Chikorita
Bayleef,Chikorita
Meganium,Chikorita
Cyndaquil,Cyndaquil
Quilava,Cyndaquil
Typhlosion,Cyndaquil
Totodile,Totodile
Croconaw,Totodile
Feraligatr,Totodile
Sentret,Sentret
Furret,Sentret
Hoothoot,Hoothoot
Noctowl,Hoothoot
Ledyba,Ledyba
Ledian,Ledyba
Spinarak,Spinarak
Ariados,Spinarak
Chinchou,Chinchou
Lanturn,Chinchou
Togepi,Togepi
Togetic,Togepi
Togekiss,Togepi
Natu,Natu
Xatu,Natu
Mareep,Mareep
Flaaffy,Mareep
Ampharos,Mareep
Marill,Marill
Azumarill,Marill
Azurill,Marill
Sudowoodo,Sudowoodo
Bonsly,Bonsly
Hoppip,Hoppip
Skiploom,Hoppip
Jumpluff,Hoppip
Aipom,Aipom
Ambipom,Aipom
Sunkern,Sunkern
Sunflora,Sunkern
Yanma,Yanma
Yanmega,Yanma
Wooper,Wooper
Quagsire,Wooper
Murkrow,Murkrow
Honchkrow,Murkrow
Misdreavus,Misdreavus
Mismagius,Misdreavus
Unown,Unown
Wobbuffet,Wobbuffet
Wynaut,Wynaut
Girafarig,Girafarig
Pineco,Pineco
Forretress,Pineco
Dunsparce,Dunsparce
Gligar,Gligar
Gliscor,Gligar
Snubbull,Snubbull
Granbull,Snubbull
Qwilfish,Qwilfish
Shuckle,Shuckle
Heracross,Heracross
Sneasel,Sneasel
Weavile,Sneasel
Teddiursa,Teddiursa
Ursaring,Teddiursa
Slugma,Slugma
Magcargo,Slugma
Swinub,Swinub
Piloswine,Swinub
Mamoswine,Swinub
Corsola,Corsola
Remoraid,Remoraid
Octillery,Remoraid
Delibird,Delibird
Mantine,Mantine
Mantyke,Mantine
Skarmory,Skarmory
Houndour,Houndour
Houndoom,Houndour
Phanpy,Phanpy
Donphan,Phanpy
Stantler,Stantler
Smeargle,Smeargle
Miltank,Miltank
Treecko,Treecko
Grovyle,Treecko
Sceptile,Treecko
Torchic,Torchic
Combusken,Torchic
Blaziken,Torchic
Mudkip,Mudkip
Marshtomp,Mudkip
Swampert,Mudkip
Poochyena,Poochyena
Mightyena,Poochyena
Zigzagoon,Zigzagoon
Linoone,Zigzagoon
Wurmple,Wurmple
Silcoon,Wurmple
Beautifly,Wurmple
Cascoon,Wurmple
Dustox,Wurmple
Lotad,Lotad
Lombre,Lotad
Ludicolo,Lotad
Seedot,Seedot
Nuzleaf,Seedot
Shiftry,Seedot
Taillow,Taillow
Swellow,Taillow
Wingull,Wingull
Pelipper,Wingull
Ralts,Ralts
Kirlia,Ralts
Gardevoir,Ralts
Gallade,Ralts
Surskit,Surskit
Masquerain,Surskit
Shroomish,Shroomish
Breloom,Shroomish
Slakoth,Slakoth
Vigoroth,Slakoth
Slaking,Slakoth
Nincada,Nincada
Ninjask,Nincada
Shedinja,Nincada
Whismur,Whismur
Loudred,Whismur
Exploud,Whismur
Makuhita,Makuhita
Hariyama,Makuhita
Nosepass,Nosepass
Probopass,Nosepass
Skitty,Skitty
Delcatty,Skitty
Sableye,Sableye
Mawile,Mawile
Aron,Aron
Lairon,Aron
Aggron,Aron
Meditite,Meditite
Medicham,Meditite
Electrike,Electrike
Manectric,Electrike
Plusle,Plusle
Minun,Minun
Volbeat,Volbeat
Illumise,Illumise
Roselia,Roselia
Budew,Roselia
Roserade,Roselia
Gulpin,Gulpin
Swalot,Gulpin
Carvanha,Carvanha
Sharpedo,Carvanha
Wailmer,Wailmer
Wailord,Wailmer
Numel,Numel
Camerupt,Numel
Torkoal,Torkoal
Spoink,Spoink
Grumpig,Spoink
Spinda,Spinda
Trapinch,Trapinch
Vibrava,Trapinch
Flygon,Trapinch
Cacnea,Cacnea
Cacturne,Cacnea
Swablu,Swablu
Altaria,Swablu
Zangoose,Zangoose
Seviper,Seviper
Lunatone,Lunatone
Solrock,Solrock
Barboach,Barboach
Whiscash,Barboach
Corphish,Corphish
Crawdaunt,Corphish
Baltoy,Baltoy
Claydol,Baltoy
Lileep,Lileep
Cradily,Lileep
Anorith,Anorith
Armaldo,Anorith
Feebas,Feebas
Milotic,Feebas
Castform,Castform
Kecleon,Kecleon
Shuppet,Shuppet
Banette,Shuppet
Duskull,Duskull
Dusclops,Duskull
Dusknoir,Duskull
Tropius,Tropius
Chimecho,Chimecho
Chingling,Chimecho
Absol,Absol
Snorunt,Snorunt
Glalie,Snorunt
Froslass,Snorunt
Spheal,Spheal
Sealeo,Spheal
Walrein,Spheal
Clamperl,Clamperl
Huntail,Clamperl
Gorebyss,Clamperl
Relicanth,Relicanth
Luvdisc,Luvdisc
Bagon,Bagon
Shelgon,Bagon
Salamence,Bagon
Beldum,Beldum
Metang,Beldum
Metagross,Beldum
Turtwig,Turtwig
Grotle,Turtwig
Torterra,Turtwig
Chimchar,Chimchar
Monferno,Chimchar
Infernape,Chimchar
Piplup,Piplup
Prinplup,Piplup
Empoleon,Piplup
Starly,Starly
Staravia,Starly
Staraptor,Starly
Bidoof,Bidoof
Bibarel,Bidoof
Kricketot,Kricketot
Kricketune,Kricketot
Shinx,Shinx
Luxio,Shinx
Luxray,Shinx
Cranidos,Cranidos
Rampardos,Cranidos
Shieldon,Shieldon
Bastiodon,Shieldon
Burmy,Burmy
Wormadam,Burmy
Mothim,Burmy
Combee,Combee
Vespiquen,Combee
Pachirisu,Pachirisu
Buizel,Buizel
Floatzel,Buizel
Cherubi,Cherubi
Cherrim,Cherubi
Shellos,Shellos
Gastrodon,Shellos
Drifloon,Drifloon
Drifblim,Drifloon
Buneary,Buneary
Lopunny,Buneary
Glameow,Glameow
Purugly,Glameow
Stunky,Stunky
Skuntank,Stunky
Bronzor,Bronzor
Bronzong,Bronzor
Chatot,Chatot
Spiritomb,Spiritomb
Gible,Gible
Gabite,Gible
Garchomp,Gible
Riolu,Riolu
Lucario,Riolu
Hippopotas,Hippopotas
Hippowdon,Hippopotas
Skorupi,Skorupi
Drapion,Skorupi
Croagunk,Croagunk
Toxicroak,Croagunk
Carnivine,Carnivine
Finneon,Finneon
Lumineon,Finneon
Snover,Snover
Abomasnow,Snover
Rotom,Rotom
Snivy,Snivy
Servine,Snivy
Serperior,Snivy
Tepig,Tepig
Pignite,Tepig
Emboar,Tepig
Oshawott,Oshawott
Dewott,Oshawott
Samurott,Oshawott
Patrat,Patrat
Watchog,Patrat
Lillipup,Lillipup
Herdier,Lillipup
Stoutland,Lillipup
Purrloin,Purrloin
Liepard,Purrloin
Pansage,Pansage
Simisage,Pansage
Pansear,Pansear
Simisear,Pansear
Panpour,Panpour
Simipour,Panpour
Munna,Munna
Musharna,Munna
Pidove,Pidove
Tranquill,Pidove
Unfezant,Pidove
Blitzle,Blitzle
Zebstrika,Blitzle
Roggenrola,Roggenrola
Boldore,Roggenrola
Gigalith,Roggenrola
Woobat,Woobat
Swoobat,Woobat
Drilbur,Drilbur
Excadrill,Drilbur
Audino,Audino
Timburr,Timburr
Gurdurr,Timburr
Conkeldurr,Timburr
Tympole,Tympole
Palpitoad,Tympole
Seismitoad,Tympole
Throh,Throh
Sawk,Sawk
Sewaddle,Sewaddle
Swadloon,Sewaddle
Leavanny,Sewaddle
Venipede,Venipede
Whirlipede,Venipede
Scolipede,Venipede
Cottonee,Cottonee
Whimsicott,Cottonee
Petilil,Petilil
Lilligant,Petilil
Basculin,Basculin
Sandile,Sandile
Krokorok,Sandile
Krookodile,Sandile
Darumaka,Darumaka
Darmanitan,Darumaka
Maractus,Maractus
Dwebble,Dwebble
Crustle,Dwebble
Scraggy,Scraggy
Scrafty,Scraggy
Sigilyph,Sigilyph
Yamask,Yamask
Cofagrigus,Yamask
Tirtouga,Tirtouga
Carracosta,Tirtouga
Archen,Archen
Archeops,Archen
Trubbish,Trubbish
Garbodor,Trubbish
Zorua,Zorua
Zoroark,Zorua
Minccino,Minccino
Cinccino,Minccino
Gothita,Gothita
Gothorita,Gothita
Gothitelle,Gothita
Solosis,Solosis
Duosion,Solosis
Reuniclus,Solosis
Ducklett,Ducklett
Swanna,Ducklett
Vanillite,Vanillite
Vanillish,Vanillite
Vanilluxe,Vanillite
Deerling,Deerling
Sawsbuck,Deerling
Emolga,Emolga
Karrablast,Karrablast
Escavalier,Karrablast
Foongus,Foongus
Amoonguss,Foongus
Frillish,Frillish
Jellicent,Frillish
Alomomola,Alomomola
Joltik,Joltik
Galvantula,Joltik
Ferroseed,Ferroseed
Ferrothorn,Ferroseed
Klink,Klink
Klang,Klink
Klinklang,Klink
Tynamo,Tynamo
Eelektrik,Tynamo
Eelektross,Tynamo
Elgyem,Elgyem
Beheeyem,Elgyem
Litwick,Litwick
Lampent,Litwick
Chandelure,Litwick
Axew,Axew
Fraxure,Axew
Haxorus,Axew
Cubchoo,Cubchoo
Beartic,Cubchoo
Cryogonal,Cryogonal
Shelmet,Shelmet
Accelgor,Shelmet
Stunfisk,Stunfisk
Mienfoo,Mienfoo
Mienshao,Mienfoo
Druddigon,Druddigon
Golett,Golett
Golurk,Golett
Pawniard,Pawniard
Bisharp,Pawniard
Bouffalant,Bouffalant
Rufflet,Rufflet
Braviary,Rufflet
Vullaby,Vullaby
Mandibuzz,Vullaby
Heatmor,Heatmor
Durant,Durant
Deino,Deino
Zweilous,Deino
Hydreigon,Deino
Larvesta,Larvesta
Volcarona,Larvesta
Chespin,Chespin
Quilladin,Chespin
Chesnaught,Chespin
Fennekin,Fennekin
Braixen,Fennekin
Delphox,Fennekin
Froakie,Froakie
Frogadier,Froakie
Greninja,Froakie
Bunnelby,Bunnelby
Diggersby,Bunnelby
Fletchling,Fletchling
Fletchinder,Fletchling
Talonflame,Fletchling
Scatterbug,Scatterbug
Spewpa,Scatterbug
Vivillon,Scatterbug
Litleo,Litleo
Pyroar,Litleo
Flabebe,Flabebe
Floette,Flabebe
Florges,Flabebe
Skiddo,Skiddo
Gogoat,Skiddo
Pancham,Pancham
Pangoro,Pancham
Furfrou,Furfrou
Espurr,Espurr
Meowstic,Espurr
Honedge,Honedge
Doublade,Honedge
Aegislash,Honedge
Spritzee,Spritzee
Aromatisse,Spritzee
Swirlix,Swirlix
Slurpuff,Swirlix
Inkay,Inkay
Malamar,Inkay
Binacle,Binacle
Barbaracle,Binacle
Skrelp,Skrelp
Dragalge,Skrelp
Clauncher,Clauncher
Clawitzer,Clauncher
Helioptile,Helioptile
Heliolisk,Helioptile
Tyrunt,Tyrunt
Tyrantrum,Tyrunt
Amaura,Amaura
Aurorus,Amaura
Hawlucha,Hawlucha
Dedenne,Dedenne
Carbink,Carbink
Goomy,Goomy
Sliggoo,Goomy
Goodra,Goomy
Klefki,Klefki
Phantump,Phantump
Trevenant,Phantump
Pumpkaboo,Pumpkaboo
Gourgeist,Pumpkaboo
Bergmite,Bergmite
Avalugg,Bergmite
Noibat,Noibat
Noivern,Noibat
Rowlet,Rowlet
Dartrix,Rowlet
Decidueye,Rowlet
Litten,Litten
Torracat,Litten
Incineroar,Litten
Popplio,Popplio
Brionne,Popplio
Primarina,Popplio
Pikipek,Pikipek
Trumbeak,Pikipek
Toucannon,Pikipek
Yungoos,Yungoos
Gumshoos,Yungoos
Grubbin,Grubbin
Charjabug,Grubbin
Vikavolt,Grubbin
Crabrawler,Crabrawler
Crabominable,Crabrawler
Oricorio,Oricorio
Cutiefly,Cutiefly
Ribombee,Cutiefly
Rockruff,Rockruff
Lycanroc,Rockruff
Wishiwashi,Wishiwashi
Mareanie,Mareanie
Toxapex,Mareanie
Mudbray,Mudbray
Mudsdale,Mudbray
Dewpider,Dewpider
Araquanid,Dewpider
Fomantis,Fomantis
Lurantis,Fomantis
Morelull,Morelull
Shiinotic,Morelull
Salandit,Salandit
Salazzle,Salandit
Stufful,Stufful
Bewear,Stufful
Bounsweet,Bounsweet
Steenee,Bounsweet
Tsareena,Bounsweet
Comfey,Comfey
Oranguru,Oranguru
Passimian,Passimian
Wimpod,Wimpod
Golisopod,Wimpod
Sandygast,Sandygast
Palossand,Sandygast
Pyukumuku,Pyukumuku
TypeNull,TypeNull
Silvally,TypeNull
Minior,Minior
Komala,Komala
Turtonator,Turtonator
Togedemaru,Togedemaru
Mimikyu,Mimikyu
Bruxish,Bruxish
Drampa,Drampa
Dhelmise,Dhelmise
Jangmoo,Jangmoo
Hakamoo,Jangmoo
Kommoo,Jangmoo
